,standard_smiles,source
0,CC(C[N+](C)(C)C)OC(N)=O,approved
1,CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,approved
2,CCC[C@@]1(CCc2ccccc2)CC(O)=C([C@H](CC)c2cccc(NS(=O)(=O)c3ccc(C(F)(F)F)cn3)c2)C(=O)O1,approved
3,N#Cc1ccc(Oc2ccc3c(c2)COB3O)cc1,approved
4,Nc1c(Br)cc(Br)cc1CN[C@H]1CC[C@H](O)CC1,approved
5,CCCC(=O)O[C@]1(C(=O)COC(=O)CC)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,approved
6,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,approved
7,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,approved
8,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,approved
9,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@H]12,approved
10,O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,approved
11,CC1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1,approved
12,CS(=O)(=O)c1cc(C(F)(F)F)ccc1C(=O)c1cnoc1C1CC1,approved
13,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,approved
14,Cc1ccc(/C(=C\CN2CCCC2)c2cccc(/C=C/C(=O)O)n2)cc1,approved
15,O=c1ccc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)cc2o1,approved
16,CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12,approved
17,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C[C@@H](O)CC2(C)C)C(C)(C)C[C@H](O)C1,approved
18,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12,approved
19,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,approved
20,CCOC(=O)c1ccc(O)cc1,approved
21,Nc1ccc(S(=O)(=O)NC(=O)c2ccccc2)cc1,approved
22,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,approved
23,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC,approved
24,Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br,approved
25,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,approved
26,OC/C=C/c1ccccc1,approved
27,F[B-](F)(F)F.[C-]#[N+]CC(C)(C)OC.[C-]#[N+]CC(C)(C)OC.[C-]#[N+]CC(C)(C)OC.[C-]#[N+]CC(C)(C)OC.[Cu+],approved
28,C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,approved
29,CC(C)(C)c1cc(-c2cc(-c3ccc(C(=O)O)cc3)ccc2OCCO)ccc1N1CCCC1,approved
30,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)C=Cc2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,approved
31,CCC1(c2ccccc2)NC(=O)N(C)C1=O,approved
32,OCCN(CCO)CCO,approved
33,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1,approved
34,CN1CCN2c3c(cccc31)[C@@H]1CN(CCCC(=O)c3ccc(F)cc3)CC[C@@H]12,approved
35,[Ca+2],approved
36,CN1CCN(C(c2ccccc2)c2ccccc2)CC1,approved
37,CC1CS(=O)(=O)CCN1/N=C/c1ccc([N+](=O)[O-])o1,approved
38,N[C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12,approved
39,O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,approved
40,NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCc2ccc3c(c2)CCO3)C1,approved
41,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,approved
42,C[C@]12CCC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)CC#N,approved
43,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCN(S(C)(=O)=O)C3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,approved
44,CC1=C(C/C=C(\C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C(=O)c2ccccc2C1=O,approved
45,CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,approved
46,Cc1ccc(NC(=O)C2(c3ccc4c(c3)OC(F)(F)O4)CC2)nc1-c1cccc(C(=O)O)c1,approved
47,CCCCCCOC(=O)CCC(=O)CN,approved
48,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,approved
49,Cc1c(-c2ccccc2)oc2c(C(=O)OCCN3CCCCC3)cccc2c1=O,approved
50,CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1,approved
51,O=O,approved
52,CCCCC[C@H](O)/C=C/[C@@H]1[C@@H](C/C=C\CCCC(=O)O)[C@@H](O)C[C@H]1O.NC(CO)(CO)CO,approved
53,FCC(F)(F)F,approved
54,OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O,approved
55,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2)cc1O,approved
56,COC(=O)CC[C@@H]1N=C(c2ccccn2)c2cc(Br)ccc2-n2c(C)cnc21,approved
57,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,approved
58,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,approved
59,O=C1O[C@H]([C@@H](O)CO)C([O-])=C1O,approved
60,CN(C)CCC(c1ccccc1)c1ccccn1,approved
