,standard_smiles,source,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
0,CC(C[N+](C)(C)C)OC(N)=O,approved,57.57142857142857,91.88888888888889,37.68604651162791,89.12280701754386,40.870370370370374,186.5,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,approved,131.65765765765767,128.82467532467533,147.84895833333334,145.06565656565655,136.24886877828055,135.32627118644066,121.55020080321285,119.28310502283105,111.72049689440993,119.952,109.73239436619718,109.15384615384616,130.34782608695653,100.92857142857143,173.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,CCC[C@@]1(CCc2ccccc2)CC(O)=C([C@H](CC)c2cccc(NS(=O)(=O)c3ccc(C(F)(F)F)cn3)c2)C(=O)O1,approved,115.98550724637681,82.40298507462687,104.23622047244095,103.15873015873017,102.28915662650603,97.27125506072875,101.35021097046413,93.33333333333333,90.60849056603773,98.475935828877,101.16959064327486,105.1056338028169,114.29824561403508,104.75257731958763,102.54054054054055,99.22388059701493,102.01886792452831,97.84210526315789,94.95,99.92307692307692,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Nc1c(Br)cc(Br)cc1CN[C@H]1CC[C@H](O)CC1,approved,89.61194029850746,67.54368932038835,76.130081300813,67.38461538461539,78.50769230769231,93.53125,92.54285714285714,86.21153846153847,77.13636363636364,107.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CCCC(=O)O[C@]1(C(=O)COC(=O)CC)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,approved,58.052287581699346,64.81481481481481,69.50887573964496,63.56955380577428,72.45555555555555,73.6897689768977,79.25263157894737,71.53639846743295,85.81951219512194,70.79268292682927,63.79545454545455,67.60204081632654,55.69642857142857,116.85714285714286,332.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,approved,75.50877192982456,96.04878048780488,107.10679611650485,111.6697247706422,92.32098765432099,127.8,332.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,approved,113.70786516853933,94.775,125.33112582781457,119.79861111111111,106.70503597122303,90.7517730496454,96.63559322033899,106.17721518987342,98.34210526315789,79.7625,93.63934426229508,117.9047619047619,116.1875,80.375,63.42857142857143,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,approved,40.810526315789474,30.434599156118143,31.346491228070175,27.819607843137256,30.541666666666668,31.444444444444443,27.973913043478262,30.671794871794873,31.56451612903226,28.165853658536584,30.833333333333332,31.581818181818182,29.083333333333332,30.836477987421382,31.513333333333332,29.372670807453417,30.84027777777778,31.42962962962963,29.739436619718308,30.844961240310077,31.325,30.21951219512195,30.850877192982455,31.19047619047619,30.875,30.858585858585858,31.011111111111113,31.823529411764707,30.86904761904762,30.76,33.121212121212125,31.03174603174603,30.90740740740741,34.4,31.357142857142858,31.242424242424242,37.916666666666664,32.333333333333336,32.75,54.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@H]12,approved,58.70992366412214,65.04566210045662,65.06645569620254,56.146408839779006,73.5111821086262,86.18487394957984,90.66981132075472,77.32335329341318,106.91463414634147,136.02777777777777,265.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,approved,63.94736842105263,64.6842105263158,78.03389830508475,78.625,92.0,128.0,129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
