,smiles,source,MW,standard_smiles
12,OC(=O)CC1=CC=C(O)C=C1,Food,152.1473,O=C(O)Cc1ccc(O)cc1
19,[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2,Food,244.311,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21
30,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,Food,176.1241,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O
32,OC[C@H]1O[C@H](OC[C@H]2O[C@H](O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O,Food,342.2965,OC[C@H]1O[C@H](OC[C@H]2O[C@H](O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O
38,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,Food,342.2965,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O
64,C[N+](C)(C)CCO,Food,104.1708,C[N+](C)(C)CCO
69,CCO,Food,46.0684,CCO
75,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,Food,441.3975,Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2[nH]1
102,N[C@@H](CC1=CC=CC=C1)C(O)=O,Food,165.1891,N[C@@H](Cc1ccccc1)C(=O)O
107,C[C@@H](O)[C@H](N)C(O)=O,Food,119.1192,C[C@@H](O)[C@H](N)C(=O)O
110,CC[C@H](C)[C@H](N)C(O)=O,Food,131.1729,CC[C@H](C)[C@H](N)C(=O)O
114,N[C@@H](CC1=CN=CN1)C(O)=O,Food,155.1546,N[C@@H](Cc1cnc[nH]1)C(=O)O
116,NCCCC[C@H](N)C(O)=O,Food,146.1876,NCCCC[C@H](N)C(=O)O
134,CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O,Food,219.235,CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)O
151,OC1=CC=CC=C1,Food,94.1112,Oc1ccccc1
156,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,Food,265.355,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1
157,CCC(O)=O,Food,74.0785,CCC(=O)O
163,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,Food,376.3639,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C
175,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,Food,342.2965,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
271,OC(=O)CCC1=CC(O)=CC=C1,Biological,166.1739,O=C(O)CCc1cccc(O)c1
295,CC(C)[C@@](O)(CC(O)=O)C(O)=O,Food,176.1672,CC(C)[C@@](O)(CC(=O)O)C(=O)O
315,OC(=O)CCC1=CC(O)=C(O)C=C1,Food,182.1733,O=C(O)CCc1ccc(O)c(O)c1
318,CC(O)(CC(O)=O)C(O)=O,Food,148.114,CC(O)(CC(=O)O)C(=O)O
330,OC(=O)CC1=CC(O)=CC=C1,Biological,152.1473,O=C(O)Cc1cccc(O)c1
347,[Ca++],Food,40.078,[Ca+2]
362,COC1=C(O)C=CC(=C1)C(O)=O,Food,168.148,COc1cc(C(=O)O)ccc1O
416,[Mg++],Food,24.305,[Mg+2]
450,[K+],Exogenous,39.0983,[K+]
451,[Na+],Food,22.9898,[Na+]
