,standard_smiles
0,CNC(=O)Oc1cccc2c1OC(C)(C)O2
1,CO/C(=N/S(=O)(=O)c1ccc(N)cc1)O[K]
2,NS(=O)(=O)Cc1noc2ccccc12
3,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl
4,Clc1cc(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1
5,N#CC(C#N)=NNc1ccc(OC(F)(F)F)cc1
6,Brc1cccc(-c2cccc(Br)c2)c1
7,Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1
8,CCCCCCCCCCCCCC[C@H](O)OC[C@@H](O)COP(=O)(O)OC[C@H](N)C(=O)O
9,O=C=NCCCCCCN=C=O
10,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O
11,Clc1ccc2oc3c(Cl)c(Cl)c(Cl)cc3c2c1
12,F[As](F)F
13,CCOc1cc(C(C)(C)C)ccc1C1COC(c2c(F)cccc2F)=N1
14,CC(C)CC(N(C)C)C1(c2ccc(Cl)cc2)CCC1
15,N#C/N=C1\SCCN1Cc1ccc(Cl)nc1
16,C#CCOc1ccccc1OC(=O)NC
17,O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1
18,Clc1cccc(-c2cc(Cl)cc(Cl)c2)c1
19,Brc1ccc(-c2c(Br)cccc2Br)cc1
20,CN1CSC(=S)N(C)C1
21,N#[Al]
22,Clc1c(Br)c(Br)c2oc3c(Br)c(Br)c(Br)c(Br)c3c2c1Cl
23,[AsH6+3]
24,Clc1cc(Cl)c2oc3cccc(Cl)c3c2c1Cl
25,CCC1NC(=O)C2C(Cl)C(Cl)CN2C(=O)C(CO)NC(=O)CC(c2ccccc2)NC(=O)C(CO)NC1=O
26,CC(C)CCCCCOC(=O)CS[Sn](C)(SCC(=O)OCCCCCC(C)C)SCC(=O)OCCCCCC(C)C
27,CCCC(C)(C)CC
28,C=CCc1ccc(O)c(OC)c1
29,Cc1c(N=C=O)cccc1N=C=O.Cc1ccc(N=C=O)cc1N=C=O
30,Clc1cccc(-c2ccc(Cl)c(Cl)c2Cl)c1Cl
31,Clc1ccc(-c2cccc(Cl)c2)cc1
32,Clc1cc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)c(Cl)c1
33,CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1
34,I[Sn](I)(I)I
35,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C
36,C1=CC([Co]C2C=CC=C2)C=C1
37,Clc1cc(Cl)c(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1
38,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1
39,CCCOC(=O)c1ccccc1C(=O)OCCC
40,Br[Ca]Br
41,C1=Cc2ccccc2C1
