,standard_smiles,source
0,Clc1ccc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,toxic
1,O=[Al][O-],toxic
2,C=C(C)C1OC2CCC3(C)C4(C)c5[nH]c6cc(Cl)c7c8c6c5C(OC(C)(C)C5CC(C(=C)C7)C85O)C4CCC3(O)C23OC3C1O,toxic
3,Brc1cc(Br)cc(-c2ccc(Br)c(Br)c2)c1,toxic
4,C[C@]12C=CC(=O)C=C1CC[C@H]1[C@@H]3C[C@@H](O)[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F,toxic
5,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,toxic
6,[230Th],toxic
7,CCCCC/C=C\CCC=O,toxic
8,CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCCCC,toxic
9,CC(O)C(=O)O[Cd]OC(=O)C(C)O,toxic
10,Clc1cc2oc3c(Cl)cc(Cl)c(Cl)c3c2c(Cl)c1Cl,toxic
11,Clc1cc(Cl)c2c(c1)Oc1c(Cl)cc(Cl)c(Cl)c1O2,toxic
12,O=[N+]([O-])C=C1NCCN1,toxic
13,[Cu+2].[O-][As]([O-])O,toxic
14,NC(CCC(O)=NC1(O)CC1)C(=O)O,toxic
15,OCC1CO1,toxic
16,Clc1cc(Cl)c2c(c1)oc1c(Cl)c(Cl)ccc12,toxic
17,Clc1cc2oc3c(Cl)ccc(Cl)c3c2cc1Cl,toxic
18,CCCCC(C)C(OC(=O)CC(CC(=O)O)C(=O)O)C(CC(C)CC(O)CCCCC(O)CC(O)C(C)N)OC(=O)CC(CC(=O)O)C(=O)O,toxic
19,C[C@@H](O)C(=O)O,toxic
20,CCCCCCCCCC(=O)O,toxic
21,[SeH]c1ccccc1,toxic
22,O=[Cr](=O)(Cl)Cl,toxic
23,O=C(CCCC1CCCCC1)O[Cd]OC(=O)CCCC1CCCCC1,toxic
24,CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC,toxic
25,C=C1C(O)C2OC3(CCC(/C=C/C(C)C4CC(C)=CC5(OC(CC(C)(O)C(=O)O)CCC5O)O4)O3)CCC2OC1C(O)CC(C)C1OC2(CCC1C)OCCCC2C,toxic
26,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC5CCCC5)ccc4[C@H]3CC[C@@]21C,toxic
27,CC(=O)OCC12CC(O)C(C)=CC1OC1C(O)C(OC(C)=O)C2(C)C12CO2,toxic
28,Clc1ccccc1-c1nnc(-c2ccccc2Cl)nn1,toxic
29,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O,toxic
30,C=C(C)C1CCC(C)(O)C2Oc3cc(CCCCC)cc(O)c3C12,toxic
31,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,toxic
32,CC1=CCC(C(C)C)=CC1,toxic
33,O=[Mn](=O)(=O)O[Ba]O[Mn](=O)(=O)=O,toxic
34,[Th],toxic
35,CO[C@H]1/C=C\O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C6CCCC6)CC5)c(O)c4c3C2=O)N=C(O)/C(C)=C\C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,toxic
36,Cc1c(F)c(F)c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)c(F)c1F,toxic
37,Brc1cc(Br)c(-c2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1,toxic
38,N[C@@H](Cc1c[nH]cn1)C(=O)O,toxic
39,CCCCCCCCCCCCOS(=O)(=O)[O-],toxic
40,O=[N+]([O-])C=C1CCCCC1,toxic
41,CC(O)NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,toxic
42,O=[Se](Br)Br,toxic
43,CC1(C)OC23CCC4(C)C(O)(CCC5Cc6c([nH]c7ccccc67)C54C)C2=CC(=O)C1O3,toxic
44,CC(C)NC(=O)N1CC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,toxic
45,[O-][Cl+3]([O-])([O-])O[Pb]O[Cl+3]([O-])([O-])[O-],toxic
46,O=C1CN2CCOC2(c2ccccc2F)c2cc(Br)ccc2N1,toxic
47,Clc1ccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)cc1,toxic
48,C/C=N/N(C)C=O,toxic
49,CCNC(=O)C(C)OC(=O)Nc1ccccc1,toxic
50,[Cd]=[Te]=[Hg],toxic
51,CC1C=CC=CCCC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC(O)C(C(=O)O)C(O)CC(=O)CC(O)C(O)CCC(O)CC(O)CC(O)CC(=O)OC(C)C(C)C1O,toxic
52,F[Cu],toxic
53,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H](Cl)[C@H]1Cl,toxic
54,[N-]=[N+]=N[Pb]N=[N+]=[N-],toxic
55,C[C@H]1[C@H](c2ccc(Cl)cc2)SC(=O)N1C(O)=NC1CCCCC1,toxic
56,CC1(C)[C@@H]2CC[C@]1(C)[C@@H](OC(=O)CSC#N)C2,toxic
57,CCCCCCCCCC(=O)OC1CCC2(C)C(=CCC3C2CCC2(C)C(C(C)CCCC(C)C)CCC32)C1,toxic
58,O=C(O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],toxic
59,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,toxic
60,CCCCC(C)C=C1CN2CCCC2C(C)(O)C1,toxic
61,Clc1cccc(-c2cc(Cl)cc(Cl)c2)c1,toxic
62,C[N+](C)(C)[O-],toxic
63,Clc1ccc(C2CC3CCC2N3)cn1,toxic
64,COP(=O)(O)ON1C(=N)NC[C@@H]1CN(C)C,toxic
65,CNC[C@H](O)c1ccc(O)c(O)c1,toxic
66,CO[C@H]1C[C@H](O[C@H]2[C@H](C)O[C@@H](O[C@@H]3/C(C)=C/C[C@@H]4C[C@@H](C[C@]5(CC[C@H](C)[C@@H](C(C)C)O5)O4)OC(=O)[C@@H]4C=C(C)[C@@H](O)[C@H]5OC/C(=C\C=C\[C@@H]3C)[C@]54O)C[C@@H]2OC)O[C@@H](C)[C@@H]1O,toxic
67,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,toxic
68,O=[As]O[Pb]O[As]=O,toxic
69,Brc1ccccc1-c1ccccc1Br,toxic
70,NCCC(O)(P(=O)(O)O)P(=O)(O)O,toxic
71,[Cd]=[Te],toxic
72,[Sn+2],toxic
73,CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,toxic
74,CCCCOC(=O)C(C)O,toxic
75,Cc1cc(C)c(S(=O)(=O)O)cc1/N=N/c1cc(S(=O)(=O)O)c2ccccc2c1O,toxic
76,CCC(Cl)C(Cl)C(Cl)CC(Cl)C(Cl)C(C)Cl,toxic
77,Clc1cc(Cl)cc(-c2c(Cl)ccc(Cl)c2Cl)c1,toxic
78,CC(O)C(=O)O[Al](OC(=O)C(C)O)OC(=O)C(C)O,toxic
79,O=C(O)CCCC(=O)C(=O)O,toxic
80,[Cu+2],toxic
81,C=Cc1c2[nH]c(c1C)Cc1[nH]c(c(CCC(=O)O)c1C)Cc1[nH]c(c(C)c1CCC(=O)O)Cc1[nH]c(c(C)c1C=C)C2,toxic
82,NC(N)=S,toxic
83,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,toxic
84,Brc1cc(-c2c(Br)c(Br)cc(Br)c2Br)c(Br)c(Br)c1Br,toxic
85,ClC1=C(Cl)[C@]2(Cl)[C@@H]3[C@@H]4C[C@@H]([C@H]5O[C@@H]45)[C@@H]3[C@@]1(Cl)C2(Cl)Cl,toxic
86,[Pb+2].[Pb+2].[Pb+2],toxic
87,Clc1cc(Cl)c2c(oc3ccc(Cl)c(Cl)c32)c1Cl,toxic
88,[Cr+3],toxic
89,C/C(=C\C=C/C(C)C(=O)O)C1CNC(C(=O)O)C1CC(=O)O,toxic
90,Clc1ccc2c(c1Cl)Oc1c(Cl)cccc1O2,toxic
91,CN(C)C,toxic
92,[Ni+2],toxic
93,Clc1ccc2c(c1)oc1ccc(Cl)cc12,toxic
94,BrP(Br)(Br)(Br)Br,toxic
95,Clc1cc(Cl)c2c(c1Cl)Oc1c(Cl)cc(Cl)c(Cl)c1O2,toxic
96,O=[N+]([O-])C=C1NCCS1,toxic
97,Brc1cc(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c(Br)c1Br,toxic
98,COc1nn(CSP(=S)(OC)OC)c(=O)s1,toxic
99,CN(N=O)C(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O,toxic
100,Brc1c(Br)c(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,toxic
101,CCCCN(CCCC)C(=S)S[Ni]SC(=S)N(CCCC)CCCC,toxic
102,Cc1ccc(C)o1,toxic
103,Clc1cc(Cl)c2oc3cc(Cl)c(Cl)c(Cl)c3c2c1,toxic
104,[Fe+3],toxic
105,Clc1cc(Cl)c2c(c1)oc1c(Cl)cc(Cl)c(Cl)c12,toxic
106,CC(=O)O[Cu]OC(C)=O,toxic
107,NCCCCNCCCN,toxic
108,[Li]Br,toxic
109,CC(=O)O[Ag],toxic
110,CCCC(CC)CC,toxic
111,[H]OCCO,toxic
112,[238U],toxic
113,O=C(O)C(=O)O,toxic
114,CC(C(=O)O)C(=O)O,toxic
115,Clc1ccccc1-c1c(Cl)cc(Cl)c(Cl)c1Cl,toxic
116,Cl[PdH2](Cl)(Cl)Cl,toxic
117,Brc1cc(Br)c(Br)c(-c2c(Br)ccc(Br)c2Br)c1,toxic
118,Clc1cccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1,toxic
119,Brc1ccc(Oc2ccccc2)cc1,toxic
120,CC(C)(N)Cc1ccccc1,toxic
121,Clc1ccc2c(c1)Oc1cc(Cl)c(Cl)cc1O2,toxic
122,CC(C)(C)CC(C)(C)c1ccc(O)cc1,toxic
123,CC[C@H](C)[C@H](N)C(=O)O,toxic
124,O=C1C=CC(=O)C(CC(=O)O)=C1,toxic
125,Clc1ccc(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1Cl,toxic
126,N#CC(C#N)=NNc1cccc(Cl)c1,toxic
127,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1Br,toxic
128,F[Co](F)F,toxic
129,CCN1CCC/C1=C/[N+](=O)[O-],toxic
130,[239Pu],toxic
131,BrC1CC(Br)CC(Br)CC(Br)CC(Br)CC(Br)C1,toxic
132,Nc1ccc2ccccc2c1,toxic
133,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,toxic
134,COc1cc(-c2cc3c(c(=O)o2)CC2(O)C(C)(CCC4(O)C(C)(C)C=CC(=O)C42C)O3)cc(OC)c1OC,toxic
135,I[Ba]I,toxic
136,C=C1C[C@H]1C[C@H](N)C(=O)O,toxic
137,C=C1C(C)C2C(Cc3ccccc3)NC(=O)C23OC(=O)/C=C/C(O)CCCC(C)C/C=C/C3C1O,toxic
138,F[Sn](F)(F)F,toxic
139,CCC1OC2OC(/C=C/C=C/C=C/c3oc(=O)cc(OC)c3C)C(O)C2(C)C1(C)O,toxic
140,CCC1CCC(CCC(=O)O[Cu]OC(=O)CCC2CCC(C)C2)C1,toxic
141,CN(C)c1nc(=O)n(C2CCCCC2)c(=O)n1C,toxic
142,Brc1cc(Br)c(Br)c(-c2cc(Br)cc(Br)c2Br)c1,toxic
143,Brc1ccc(Br)c(-c2ccccc2)c1,toxic
144,[NH4+],toxic
145,[Ba+2].[C-]#N.[C-]#N,toxic
146,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,toxic
147,N#C[Ni]C#N,toxic
148,Clc1ccc(C(Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1,toxic
149,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,toxic
150,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1,toxic
151,O=[Se](=O)([O-])[O-],toxic
152,CCOC(=O)C(C)OC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],toxic
153,Clc1cc(Cl)cc(-c2ccc(Cl)c(Cl)c2)c1,toxic
154,CO[C@H]1/C=C\O[C@@]2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(N=C(O)/C(C)=C\C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C4=O,toxic
155,C[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,toxic
156,O=[Sb](=O)O[Sb](=O)=O,toxic
157,Clc1ccc2c(c1Cl)Oc1ccc(Cl)c(Cl)c1O2,toxic
158,Clc1cc2c(c(Cl)c1Cl)Oc1c(Cl)c(Cl)cc(Cl)c1O2,toxic
159,Cl[Zn-2](Cl)(Cl)Cl,toxic
160,Cc1ccccc1N,toxic
161,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,toxic
162,Clc1cccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c1Cl,toxic
163,CC[C@@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cnc(-c4cccnc4)c3)C(=O)O[C@@]12C,toxic
164,CCCCCCc1ccc(O)cc1O,toxic
165,Clc1cc(Cl)c2c(oc3c(Cl)c(Cl)c(Cl)c(Cl)c32)c1Cl,toxic
166,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,toxic
167,CS(=O)(=O)c1cc(C(F)(F)F)ccc1C(=O)c1cnoc1C1CC1,toxic
168,COC(=O)Nc1nc2ccccc2[nH]1,toxic
169,Clc1cc(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)cc1Cl,toxic
170,ClC1=C(Cl)[C@]2(Cl)C3C(C[C@@H](Cl)[C@@H]3Cl)[C@@]1(Cl)C2(Cl)Cl,toxic
171,CC(Cl)Cl,toxic
172,OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1,toxic
173,CCCCCCO,toxic
174,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,toxic
175,CCS(=O)(=O)c1cccnc1S(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1,toxic
176,CC[Al](CC)CC,toxic
177,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,toxic
178,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,toxic
179,N#Cc1ccccc1C#N,toxic
180,Cl[Hg]Cl,toxic
181,O=CCCC(=O)O,toxic
182,CC(C)c1ccccc1,toxic
183,Clc1ccc(Cl)c(Cl)c1,toxic
184,CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,toxic
185,O=C(O)O.[Co].[Co],toxic
186,CC(=O)c1ccc2ccccc2c1,toxic
187,CCC(CC)c1cccc(OC(O)=NC)c1,toxic
188,CCCCOC(=O)C(C)Oc1ccc(Oc2ccc(C(F)(F)F)cn2)cc1,toxic
189,Clc1ccc(C(c2ccccc2Cl)C(Cl)(Cl)Cl)cc1,toxic
190,CCCCOC(=O)c1ccccc1C(=O)OC,toxic
191,CCC(C)C1NC(=O)CNC(=O)C2Cc3c([nH]c4cc(O)ccc34)S(=O)CC(NC(=O)CNC1=O)C(=O)NC(CC(N)=O)C(=O)N1CC(O)CC1C(=O)NC(C(C)CC)C(=O)N2,toxic
192,[C-]#[O+].[C-]#[O+].[C-]#[O+].[Cr+6].c1ccccc1,toxic
193,Clc1ccc(Cl)c(-c2c(Cl)cccc2Cl)c1,toxic
194,CC(=O)OC/C=C(/C)CCC=C(C)C,toxic
195,[Al+3].[O-][Si]([O-])([O-])[O-],toxic
196,CC1(C)C(=O)N(Br)C(=O)N1Br,toxic
197,CCc1cccc(O)c1,toxic
198,O=C(O)[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)CO,toxic
199,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,toxic
200,O=C(O[Sb](OC(=O)c1ccccc1)(c1ccccc1)(c1ccccc1)c1ccccc1)c1ccccc1,toxic
201,[Ba+2].[Fe+3].[Fe+3],toxic
202,CN1CCN=C(c2ccccc2)c2cc(Cl)ccc21,toxic
203,CCCN(CCC)N=O,toxic
